NoTroncon;CenterLongitude;CenterLatitude;EmplacementCount;sNoEmplacement;longitude;latitude
26;-73.57156;45.506211;6;E763;-73.571201;45.506040999999996
27;-73.570553;45.50594;6;E788;-73.570683;45.506003
27;-73.570553;45.50594;6;E789;-73.570683;45.506003
27;-73.570553;45.50594;6;E790;-73.570553;45.505939
27;-73.570553;45.50594;6;E791;-73.570553;45.505939
27;-73.570553;45.50594;6;E792;-73.570423;45.505879
27;-73.570553;45.50594;6;E793;-73.570423;45.505879
28;-73.57068;45.505793;7;E781;-73.570839;45.505868
28;-73.57068;45.505793;7;E782;-73.570839;45.505868
28;-73.57068;45.505793;7;E783;-73.570711;45.505808
28;-73.57068;45.505793;7;E784;-73.570711;45.505808
28;-73.57068;45.505793;7;E785;-73.570584;45.505747
28;-73.57068;45.505793;7;E786;-73.570584;45.505747
28;-73.57068;45.505793;7;E787;-73.570489;45.505702
29;-73.569934;45.505558;6;F784;-73.570065;45.50563
29;-73.569934;45.505558;6;F785;-73.570009;45.505590999999995
29;-73.569934;45.505558;6;F786;-73.570009;45.505590999999995
29;-73.569934;45.505558;6;F787;-73.56988199999999;45.505532
29;-73.569934;45.505558;6;F788;-73.56988199999999;45.505532
29;-73.569934;45.505558;6;F789;-73.569755;45.505469
30;-73.568546;45.504907;5;F803;-73.568712;45.504985
30;-73.568546;45.504907;5;F805;-73.56857;45.504917999999996
30;-73.568546;45.504907;5;F806;-73.56857;45.504917999999996
30;-73.568546;45.504907;5;F807;-73.568439;45.504856
30;-73.568546;45.504907;5;F808;-73.568439;45.504856
33;-73.568002;45.5039;11;F764;-73.56841999999999;45.504104999999996
33;-73.568002;45.5039;11;F765;-73.568318;45.504054
33;-73.568002;45.5039;11;F766;-73.568318;45.504054
33;-73.568002;45.5039;11;F767;-73.56824;45.504015
33;-73.568002;45.5039;11;F768;-73.568129;45.503962
33;-73.568002;45.5039;11;F769;-73.568129;45.503962
33;-73.568002;45.5039;11;F774;-73.56783;45.503813
33;-73.568002;45.5039;11;F775;-73.567771;45.503787
33;-73.568002;45.5039;11;F776;-73.567655;45.503731
33;-73.568002;45.5039;11;F777;-73.567655;45.503731
33;-73.568002;45.5039;11;F778;-73.567557;45.503685
155;-73.570384;45.506478;15;E436;-73.570751;45.506104
155;-73.570384;45.506478;15;E437;-73.570751;45.506104
155;-73.570384;45.506478;15;E438;-73.570665;45.506187
155;-73.570384;45.506478;15;E439;-73.570665;45.506187
155;-73.570384;45.506478;15;E440;-73.570584;45.506275
155;-73.570384;45.506478;15;E441;-73.570584;45.506275
155;-73.570384;45.506478;15;E442;-73.57050100000001;45.506361
155;-73.570384;45.506478;15;E443;-73.57050100000001;45.506361
155;-73.570384;45.506478;15;E448;-73.57021800000001;45.506651
155;-73.570384;45.506478;15;E449;-73.57021800000001;45.506651
155;-73.570384;45.506478;15;E450;-73.570127;45.50674
155;-73.570384;45.506478;15;E451;-73.570127;45.50674
155;-73.570384;45.506478;15;E452;-73.570086;45.506785
155;-73.570384;45.506478;15;E453;-73.56999300000001;45.506875
155;-73.570384;45.506478;15;E454;-73.56999300000001;45.506875
156;-73.570073;45.507064;12;E419;-73.570357;45.506774
156;-73.570073;45.507064;12;E420;-73.570357;45.506774
156;-73.570073;45.507064;12;E423;-73.570208;45.506931
156;-73.570073;45.507064;12;E424;-73.570208;45.506931
156;-73.570073;45.507064;12;E425;-73.57011800000001;45.507021
156;-73.570073;45.507064;12;E426;-73.570073;45.507062
156;-73.570073;45.507064;12;E427;-73.570073;45.507062
156;-73.570073;45.507064;12;E428;-73.569975;45.507162
156;-73.570073;45.507064;12;E429;-73.569975;45.507162
156;-73.570073;45.507064;12;E430;-73.569873;45.507265000000004
156;-73.570073;45.507064;12;E431;-73.569873;45.507265000000004
156;-73.570073;45.507064;12;E432;-73.569784;45.507355
182;-73.569554;45.506644;21;E537;-73.570079;45.50612
182;-73.569554;45.506644;21;E538;-73.570079;45.50612
182;-73.569554;45.506644;21;E541;-73.56992;45.506285999999996
182;-73.569554;45.506644;21;E543;-73.569884;45.506326
182;-73.569554;45.506644;21;E544;-73.56979799999999;45.506414
182;-73.569554;45.506644;21;E545;-73.56979799999999;45.506414
182;-73.569554;45.506644;21;E546;-73.56970600000001;45.50651
182;-73.569554;45.506644;21;E547;-73.56970600000001;45.50651
182;-73.569554;45.506644;21;E548;-73.569621;45.506599
182;-73.569554;45.506644;21;E549;-73.569621;45.506599
182;-73.569554;45.506644;21;E550;-73.569536;45.506689
182;-73.569554;45.506644;21;E551;-73.569536;45.506689
182;-73.569554;45.506644;21;E552;-73.569488;45.506738
182;-73.569554;45.506644;21;E553;-73.569399;45.506764000000004
182;-73.569554;45.506644;21;E554;-73.569323;45.506842999999996
182;-73.569554;45.506644;21;E555;-73.569277;45.506893
182;-73.569554;45.506644;21;E556;-73.569277;45.506893
182;-73.569554;45.506644;21;E557;-73.569191;45.506982
182;-73.569554;45.506644;21;E558;-73.569191;45.506982
182;-73.569554;45.506644;21;E559;-73.56910500000001;45.507071999999994
182;-73.569554;45.506644;21;E560;-73.56910500000001;45.507071999999994
204;-73.568159;45.505047;6;F276;-73.568308;45.504892
204;-73.568159;45.505047;6;F277;-73.568308;45.504892
204;-73.568159;45.505047;6;F278;-73.568228;45.504985
204;-73.568159;45.505047;6;F279;-73.568228;45.504985
204;-73.568159;45.505047;6;F284;-73.567942;45.505263
204;-73.568159;45.505047;6;F285;-73.567942;45.505263
205;-73.567457;45.50585;16;F287;-73.567753;45.505523
205;-73.567457;45.50585;16;F288;-73.567753;45.505523
205;-73.567457;45.50585;16;F289;-73.56767099999999;45.505615
205;-73.567457;45.50585;16;F290;-73.56767099999999;45.505615
205;-73.567457;45.50585;16;F291;-73.567589;45.505713
205;-73.567457;45.50585;16;F292;-73.567589;45.505713
205;-73.567457;45.50585;16;F293;-73.56751;45.505803
205;-73.567457;45.50585;16;F294;-73.56751;45.505803
205;-73.567457;45.50585;16;F295;-73.567432;45.505893
205;-73.567457;45.50585;16;F296;-73.567358;45.505932
205;-73.567457;45.50585;16;F297;-73.567317;45.505978999999996
205;-73.567457;45.50585;16;F298;-73.567317;45.505978999999996
205;-73.567457;45.50585;16;F299;-73.567235;45.506073
205;-73.567457;45.50585;16;F300;-73.567235;45.506073
205;-73.567457;45.50585;16;F301;-73.567183;45.506178999999996
205;-73.567457;45.50585;16;F302;-73.567183;45.506178999999996
358;-73.568953;45.506062;20;F195;-73.569537;45.505447
358;-73.568953;45.506062;20;F196;-73.569537;45.505447
358;-73.568953;45.506062;20;F197;-73.569464;45.505524
358;-73.568953;45.506062;20;F202;-73.569237;45.505762
358;-73.568953;45.506062;20;F203;-73.569237;45.505762
358;-73.568953;45.506062;20;F204;-73.569152;45.505854
358;-73.568953;45.506062;20;F205;-73.569152;45.505854
358;-73.568953;45.506062;20;F206;-73.56911099999999;45.505897999999995
358;-73.568953;45.506062;20;F208;-73.569012;45.506002
358;-73.568953;45.506062;20;F209;-73.568946;45.506066
358;-73.568953;45.506062;20;F210;-73.568946;45.506066
358;-73.568953;45.506062;20;F211;-73.568883;45.506133
358;-73.568953;45.506062;20;F212;-73.568839;45.506178999999996
358;-73.568953;45.506062;20;F213;-73.568768;45.506253
358;-73.568953;45.506062;20;F214;-73.568768;45.506253
358;-73.568953;45.506062;20;F215;-73.568678;45.506347
358;-73.568953;45.506062;20;F216;-73.568678;45.506347
358;-73.568953;45.506062;20;F222;-73.56838499999999;45.506662
358;-73.568953;45.506062;20;F223;-73.56838499999999;45.506662
358;-73.568953;45.506062;20;F224;-73.568335;45.506714
359;-73.568663;45.512226;12;G526;-73.569141;45.512445
359;-73.568663;45.512226;12;G527;-73.569141;45.512445
359;-73.568663;45.512226;12;G528;-73.569013;45.512386
359;-73.568663;45.512226;12;G529;-73.569013;45.512386
359;-73.568663;45.512226;12;G530;-73.568899;45.512336
359;-73.568663;45.512226;12;G535;-73.56855;45.512175
359;-73.568663;45.512226;12;G536;-73.56855;45.512175
359;-73.568663;45.512226;12;G537;-73.568422;45.512116
359;-73.568663;45.512226;12;G538;-73.568422;45.512116
359;-73.568663;45.512226;12;G539;-73.568343;45.51208
359;-73.568663;45.512226;12;G540;-73.568228;45.512027
359;-73.568663;45.512226;12;G541;-73.568228;45.512027
360;-73.568106;45.511788;32;G489;-73.56925799999999;45.512322
360;-73.568106;45.511788;32;G491;-73.569185;45.512287
360;-73.568106;45.511788;32;G492;-73.569051;45.512234
360;-73.568106;45.511788;32;G493;-73.569051;45.512234
360;-73.568106;45.511788;32;G494;-73.568947;45.512177
360;-73.568106;45.511788;32;G495;-73.56889699999999;45.512157
360;-73.568106;45.511788;32;G496;-73.568795;45.512108000000005
360;-73.568106;45.511788;32;G497;-73.568795;45.512108000000005
360;-73.568106;45.511788;32;G498;-73.568673;45.51205
360;-73.568106;45.511788;32;G499;-73.568673;45.51205
360;-73.568106;45.511788;32;G500;-73.56854;45.511989
360;-73.568106;45.511788;32;G501;-73.56854;45.511989
360;-73.568106;45.511788;32;G502;-73.568413;45.511928999999995
360;-73.568106;45.511788;32;G503;-73.568413;45.511928999999995
360;-73.568106;45.511788;32;G504;-73.568343;45.511895
360;-73.568106;45.511788;32;G506;-73.56814200000001;45.511802
360;-73.568106;45.511788;32;G509;-73.567938;45.511708
360;-73.568106;45.511788;32;G510;-73.567865;45.511675
360;-73.568106;45.511788;32;G511;-73.567865;45.511675
360;-73.568106;45.511788;32;G512;-73.567737;45.511617
360;-73.568106;45.511788;32;G513;-73.567737;45.511617
360;-73.568106;45.511788;32;G514;-73.56760600000001;45.511558
360;-73.568106;45.511788;32;G515;-73.56760600000001;45.511558
360;-73.568106;45.511788;32;G516;-73.56747800000001;45.511499
360;-73.568106;45.511788;32;G517;-73.56747800000001;45.511499
