sNoEmplacement,nNoTroncon,longitude,latitude
E780,25,-73.571069,45.506123
E753,26,-73.571862,45.506355
E754,26,-73.571732,45.506294
E755,26,-73.571732,45.506294
E756,26,-73.57163,45.506242
E762,26,-73.571201,45.506041
E763,26,-73.571201,45.506041
E788,27,-73.570683,45.506003
E789,27,-73.570683,45.506003
E790,27,-73.570553,45.505939
E791,27,-73.570553,45.505939
E792,27,-73.570423,45.505879
E793,27,-73.570423,45.505879
E781,28,-73.570839,45.505868
E782,28,-73.570839,45.505868
E783,28,-73.570711,45.505808
E784,28,-73.570711,45.505808
E785,28,-73.570584,45.505747
E786,28,-73.570584,45.505747
E787,28,-73.570489,45.505702
F784,29,-73.570065,45.50563
F785,29,-73.570009,45.505591
F786,29,-73.570009,45.505591
F787,29,-73.569882,45.505532
F788,29,-73.569882,45.505532
F789,29,-73.569755,45.505469
F803,30,-73.568712,45.504985
F805,30,-73.56857,45.504918
F806,30,-73.56857,45.504918
F807,30,-73.568439,45.504856
F808,30,-73.568439,45.504856
F764,33,-73.56842,45.504105
F765,33,-73.568318,45.504054
F766,33,-73.568318,45.504054
F767,33,-73.56824,45.504015
F768,33,-73.568129,45.503962
F769,33,-73.568129,45.503962
F774,33,-73.56783,45.503813
F775,33,-73.567771,45.503787
F776,33,-73.567655,45.503731
F777,33,-73.567655,45.503731
F778,33,-73.567557,45.503685
E436,155,-73.570751,45.506104
E437,155,-73.570751,45.506104
E438,155,-73.570665,45.506187
E439,155,-73.570665,45.506187
E440,155,-73.570584,45.506275
E441,155,-73.570584,45.506275
E442,155,-73.570501,45.506361
E443,155,-73.570501,45.506361
E448,155,-73.570218,45.506651
E449,155,-73.570218,45.506651
E450,155,-73.570127,45.50674
E451,155,-73.570127,45.50674
E452,155,-73.570086,45.506785
E453,155,-73.569993,45.506875
E454,155,-73.569993,45.506875
E419,156,-73.570357,45.506774
E420,156,-73.570357,45.506774
E423,156,-73.570208,45.506931
E424,156,-73.570208,45.506931
E425,156,-73.570118,45.507021
E426,156,-73.570073,45.507062
E427,156,-73.570073,45.507062
E428,156,-73.569975,45.507162
E429,156,-73.569975,45.507162
E430,156,-73.569873,45.507265
E431,156,-73.569873,45.507265
E432,156,-73.569784,45.507355
E537,182,-73.570079,45.50612
E538,182,-73.570079,45.50612
E541,182,-73.56992,45.506286
E543,182,-73.569884,45.506326
E544,182,-73.569798,45.506414
E545,182,-73.569798,45.506414
E546,182,-73.569706,45.50651
E547,182,-73.569706,45.50651
E548,182,-73.569621,45.506599
E549,182,-73.569621,45.506599
E550,182,-73.569536,45.506689
E551,182,-73.569536,45.506689
E552,182,-73.569488,45.506738
E553,182,-73.569399,45.506764
E554,182,-73.569323,45.506843
E555,182,-73.569277,45.506893
E556,182,-73.569277,45.506893
E557,182,-73.569191,45.506982
E558,182,-73.569191,45.506982
E559,182,-73.569105,45.507072
E560,182,-73.569105,45.507072
F276,204,-73.568308,45.504892
F277,204,-73.568308,45.504892
F278,204,-73.568228,45.504985
F279,204,-73.568228,45.504985
F284,204,-73.567942,45.505263
F285,204,-73.567942,45.505263
F287,205,-73.567753,45.505523
F288,205,-73.567753,45.505523
F289,205,-73.567671,45.505615
F290,205,-73.567671,45.505615
