NoTroncon;DescriptionTroncon;DateCreation;NoHeure;NbMinDispo;TxOccupation
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;14;1440;0,3486
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;15;1440;0,3667
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;16;1440;0,3396
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;17;1440;0,2806
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;18;1200;0,4267
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;19;1200;0,7417
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;20;1200;0,7742
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;9;1440;0,0938
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;10;1440;0,2375
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;11;1440;0,2167
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;12;1440;0,366
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;13;1440;0,5368
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;14;1440;0,6431
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;15;1440;0,6965
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;16;1440;0,6271
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;17;1440;0,6361
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-11;13;1440;0,291
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-11;14;1440;0,4708
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-11;15;1440;0,5118
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-11;16;1440;0,4507
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-11;17;1440;0,4986
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-11;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;9;1440;0,0507
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;10;1440;0,2611
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;11;1440;0,3014
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;12;1440;0,2694
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;13;1440;0,3674
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;14;1440;0,3014
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;15;1440;0,2521
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;16;1440;0,4979
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;17;1440;0,3951
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;18;1200;0,4592
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;19;1200;0,7167
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-12;20;1200;0,6275
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;9;1440;0,0292
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;10;1440;0,1313
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;11;1440;0,2493
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;12;1440;0,3931
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;13;1440;0,4083
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;14;1440;0,3347
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;15;1440;0,3604
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;16;1440;0,4743
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;17;1440;0,3806
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;18;1200;0,4333
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;19;1200;0,70
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-13;20;1200;0,6367
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;9;1440;0,1924
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;10;1440;0,1993
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;11;1440;0,4118
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;12;1440;0,6542
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;13;1440;0,5007
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;14;1440;0,3667
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;15;1440;0,2785
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;16;1440;0,2167
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;17;1440;0,3146
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;18;1200;0,3983
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;19;1200;0,5933
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-14;20;1200;0,5167
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;9;1440;0,0306
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;10;1440;0,1125
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;11;1440;0,341
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;12;1440;0,3097
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;13;1440;0,4806
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;14;1440;0,4049
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;15;1440;0,4361
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;16;1440;0,3847
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;17;1440;0,7257
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;18;1200;0,8217
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;19;1200;0,8142
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-15;20;1200;0,72
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;9;1440;0,1604
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;10;1440;0,2521
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;11;1440;0,25
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;12;1440;0,4903
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;13;1440;0,5799
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;14;1440;0,7069
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;15;1440;0,5764
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;16;1440;0,5069
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;17;1440;0,70
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;18;1200;0,8617
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;19;1200;0,9175
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-16;20;1200;0,7767
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;9;1440;0,0958
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;10;1440;0,1563
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;11;1440;0,20
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;12;1440;0,3889
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;13;1440;0,866
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;14;1440;0,9028
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;15;1440;0,7521
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;16;1440;0,6542
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;17;1440;0,9146
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-17;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-18;13;1440;0,5722
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-18;14;1440;0,6924
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-18;15;1440;0,6493
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-18;16;1440;0,4639
